Feature,xgb_shap_importance,cat_shap_importance,mlp_shap_importance,gb_shap_importance,bag_shap_importance,dt_shap_importance,Weight
tranco_rank,4.101859,4.728129296944929,3.314844494672484e-17,5.139126310556982,4.34656487859887e-17,3.502044416875554e-14,3.6833459064416507
bitdefender_trafficLight,3.1237,3.30352726038127,3.7650566356482376e-17,3.890810455449814,2.910608907761784e-17,2.607797167489219e-13,2.7394882080256084
google_safe_browsing,3.924627,0.2614853360676847,3.794115331116718e-18,0.4575288575945537,1.1308393465307651e-18,0.0,1.4825137844582743
is_url_too_long,0.5583955,0.7495949590207988,1.90722726476966e-17,0.9824727520484304,2.0437931978843556e-17,1.1668369599374027e-14,0.5980435606675677
has_prefix_suffix_in_domain,0.6331484,0.7780106778497726,1.5022296097398403e-17,0.48474399790352557,1.2657397812464419e-17,0.0,0.49591665906866444
whois_registered,0.5161004,0.6595184300617868,1.0814383410627099e-17,0.4572325615982324,7.554027457070141e-18,0.0,0.4258658379874622
has_external_favicon,0.301339,0.7277990276166255,2.0947444124597727e-17,0.6238213916891925,1.2041354927754932e-17,0.0,0.4123585101282716
has_many_subdomains,0.48160857,0.42792422791421647,9.815872995034908e-18,0.45638876327577316,1.805010459048742e-17,6.843151310794428e-17,0.36782470566372943
check_form_handler,0.57358164,0.3899474661063713,6.6808191732442416e-18,0.3583101638929526,7.707932491926171e-18,0.0,0.36473274891006024
has_suspicious_words_in_url,0.9558199,0.1214944799986814,4.876276201811833e-18,0.062205737736227125,6.1074170979644925e-18,0.0,0.3594937276641401
has_https_in_scheme,0.28825042,0.5729027543859195,9.994699615533722e-18,0.4418643136918616,6.181621905157308e-18,0.0,0.3284945067007662
has_email_submission,0.69465387,0.29870204866222944,2.4014999794650795e-17,0.1080557277555361,1.5090582336476362e-17,0.0,0.3201065600256662
check_links_pointing_to_page,0.3107279,0.5338794162927137,1.4793728773062632e-17,0.3861846475262514,6.701371139154377e-18,0.0,0.3133344207009374
check_external_resource_ratio,0.3629395,0.4089944846675095,8.732133267265123e-18,0.2872775173589203,6.863596960020644e-18,0.0,0.2793860704856074
check_script_link_ratio,0.3509202,0.46907396828344333,1.656791133689405e-17,0.23053004640036784,6.587557164165857e-18,0.0,0.2722628728127535
external_script_ratio,0.2765634,0.36006031933472893,8.684628070540008e-18,0.2927806276568942,1.3341608374439596e-17,0.0,0.24227469990565112
check_website_forwarding,0.47048703,0.1645895867312716,1.0569933631756634e-17,0.18313418824462285,3.159323049226587e-18,0.0,0.23858271033160935
has_iframe_redirection,0.057141278,0.3543452506752491,5.707517359446703e-18,0.49020592102317123,4.68517816550398e-18,0.0,0.22063772172092252
check_anchor_tag_safety,0.22096342,0.29575075821866037,1.0280789805012996e-17,0.13010787006048902,1.3160325754046852e-17,2.8384115585949835e-16,0.16750005648777389
meta_refresh_exists,0.29949415,0.11314894908674457,5.399219094037074e-18,0.049000585602895705,2.6238289675040852e-18,0.0,0.1355279950783612
count_digits_in_url,0.1142572,0.09748312050054084,1.6596989023711645e-17,0.15135379946961877,8.794140558602023e-18,0.0,0.09794337114280352
has_password_input,0.13048264,0.04041256535578935,4.27802831851818e-18,0.04779871757354869,5.7239432669941856e-18,0.0,0.0643230523716699
uses_shortening_service,0.10859223,0.03956268951514773,4.76227231333217e-18,0.03844289367959124,1.3354238158079379e-17,0.0,0.05436138525136255
uses_popup_window,0.005352424,0.020592294917740884,2.6973724304703296e-19,0.028997243087599406,3.659536408139013e-20,0.0,0.013635198470910676
uses_ip_address,0.003381709,0.0,1.3431712132889853e-19,0.00666759750513245,6.274655910750564e-21,0.0,0.0029052623688823895
has_at_symbol,0.00025489763,0.0009404100262610648,1.9749286346723526e-19,0.002458538500037533,2.2617945724798545e-20,0.0,0.000928658149784706
